id,tick_number,action,is_red_security,is_blue_security,is_yellow_security,is_blue_capability,is_yellow_capability,is_red_capability,is_attack,is_peer_sanction,is_manager_sanction,player_id
1595,35,8,1,1,0,1,0,1,2,0,0,115
1596,36,6,0,1,0,1,0,0,4,0,0,115
1597,37,8,1,0,0,0,0,1,1,0,0,115
1598,38,5,1,0,0,0,0,1,0,0,1,115
1599,39,5,1,0,0,0,0,1,0,0,1,115
1600,40,3,1,1,1,1,1,1,0,0,0,115
1601,1,3,1,1,1,1,1,1,0,0,0,92
1602,2,3,1,1,1,1,1,1,0,0,0,92
1603,3,3,1,1,1,1,1,1,0,0,0,92
1604,4,3,1,1,1,1,1,1,0,0,0,92
1605,5,3,1,1,1,1,1,1,0,0,0,92
1606,6,3,0,1,1,1,1,0,2,0,0,92
1607,7,3,0,1,1,1,1,0,0,0,0,92
1608,8,8,1,1,1,1,1,1,0,0,0,92
1609,9,3,1,1,1,1,1,1,0,0,0,92
1610,10,3,1,1,1,1,1,1,0,0,0,92
1611,11,3,1,0,1,0,1,1,1,0,0,92
1612,12,3,1,0,1,0,1,1,0,0,0,92
1613,13,6,1,1,1,1,1,1,0,0,0,92
1614,14,5,1,1,1,1,1,1,0,0,1,92
1615,15,5,1,1,1,1,1,1,0,0,1,92
1616,16,3,1,0,1,0,1,1,1,0,0,92
1617,17,6,1,1,1,1,1,1,0,0,0,92
1618,18,3,1,1,0,1,0,1,3,0,0,92
1619,19,7,1,1,1,1,1,1,0,0,0,92
1620,20,3,1,1,1,1,1,1,0,0,0,92
1621,21,3,1,0,1,0,1,1,1,0,0,92
1622,22,3,1,0,1,0,1,1,1,0,0,92
1623,23,6,1,1,1,1,1,1,0,0,0,92
1624,24,3,1,1,1,1,1,1,0,0,0,92
1625,25,3,1,1,1,1,1,1,0,0,0,92
1626,26,3,1,1,1,1,1,1,0,0,0,92
1627,27,3,1,1,1,1,1,1,0,0,0,92
1628,28,3,1,1,1,1,1,1,0,0,0,92
1629,29,3,1,0,1,0,1,1,1,0,0,92
1630,30,6,0,1,0,1,0,0,4,0,0,92
1631,31,3,0,1,0,1,0,0,0,0,0,92
1632,32,8,1,1,0,1,0,1,0,0,0,92
1633,33,5,1,1,0,1,0,1,0,0,1,92
1634,34,5,1,0,0,0,0,1,1,0,1,92
1635,35,3,1,1,1,1,1,1,0,0,0,92
1636,36,3,1,1,1,1,1,1,0,0,0,92
1637,37,3,1,1,1,1,1,1,0,0,0,92
1638,38,3,1,1,1,1,1,1,0,0,0,92
1639,39,3,1,1,1,1,1,1,0,0,0,92
1640,40,3,1,1,1,1,1,1,0,0,0,92
1641,1,3,1,1,1,1,1,1,0,0,0,98
1642,2,3,1,1,1,1,1,1,0,0,0,98
1643,3,3,1,1,1,1,1,1,0,0,0,98
1644,4,3,1,1,1,1,1,1,0,0,0,98
1645,5,3,1,1,1,1,1,1,0,0,0,98
1646,6,3,0,1,1,1,1,0,2,0,0,98
1647,7,8,1,1,1,1,1,1,0,0,0,98
1648,8,3,1,1,1,1,1,1,0,0,0,98
1649,9,3,1,1,1,1,1,1,0,0,0,98
1650,10,3,1,1,1,1,1,1,0,0,0,98
1651,11,3,1,0,1,0,1,1,1,0,0,98
1652,12,6,1,1,1,1,1,1,0,0,0,98
1653,13,3,1,1,1,1,1,1,0,0,0,98
1654,14,5,1,1,1,1,1,1,0,0,1,98
1655,15,5,1,1,1,1,1,1,0,0,1,98
1656,16,6,1,1,1,1,1,1,1,0,0,98
1657,17,3,1,1,1,1,1,1,0,0,0,98
1658,18,7,1,1,1,1,1,1,3,0,0,98
1659,19,3,1,1,1,1,1,1,0,0,0,98
1660,20,3,1,1,1,1,1,1,0,0,0,98
1661,21,6,1,1,1,1,1,1,1,0,0,98
1662,22,6,1,1,1,1,1,1,1,0,0,98
1663,23,6,1,1,1,1,1,1,0,0,0,98
1664,24,3,1,1,1,1,1,1,0,0,0,98
1665,25,3,1,1,1,1,1,1,0,0,0,98
1666,26,3,1,1,1,1,1,1,0,0,0,98
1667,27,3,1,1,1,1,1,1,0,0,0,98
1668,28,3,1,1,1,1,1,1,0,0,0,98
1669,29,3,1,0,1,0,1,1,1,0,0,98
1670,30,6,0,1,0,1,0,0,4,0,0,98
1671,31,8,1,1,0,1,0,1,0,0,0,98
1672,32,7,1,1,1,1,1,1,0,0,0,98
1673,33,5,1,1,1,1,1,1,0,0,1,98
1674,34,5,1,0,1,0,1,1,1,0,1,98
1675,35,3,1,1,1,1,1,1,0,0,0,98
1676,36,3,1,1,1,1,1,1,0,0,0,98
1677,37,3,1,1,1,1,1,1,0,0,0,98
1678,38,3,1,1,1,1,1,1,0,0,0,98
1679,39,3,1,1,1,1,1,1,0,0,0,98
1680,40,3,1,1,1,1,1,1,0,0,0,98
1681,1,3,1,1,1,1,1,1,0,0,0,104
1682,2,3,1,1,1,1,1,1,0,0,0,104
1683,3,3,1,1,1,1,1,1,0,0,0,104
1684,4,3,1,1,1,1,1,1,0,0,0,104
1685,5,3,1,1,1,1,1,1,0,0,0,104
1686,6,3,0,1,1,1,1,0,2,0,0,104
1687,7,8,1,1,1,1,1,1,0,0,0,104
1688,8,3,1,1,1,1,1,1,0,0,0,104
1689,9,3,1,1,1,1,1,1,0,0,0,104
1690,10,3,1,1,1,1,1,1,0,0,0,104
1691,11,6,1,1,1,1,1,1,1,0,0,104
1692,12,3,1,1,1,1,1,1,0,0,0,104
1693,13,3,1,1,1,1,1,1,0,0,0,104
1694,14,5,1,1,1,1,1,1,0,0,1,104
1695,15,5,1,1,1,1,1,1,0,0,1,104
1696,16,6,1,1,1,1,1,1,1,0,0,104
1697,17,3,1,1,1,1,1,1,0,0,0,104
1698,18,3,1,1,0,1,0,1,3,0,0,104
1699,19,3,1,1,0,1,0,1,0,0,0,104
1700,20,7,1,1,1,1,1,1,0,0,0,104
